topic,option
Methods,"When an object is passed as a parameter, the method receives a copy of the object, rather than a reference to the original object"
Objects & Classes,Writing event listener classes as private inner classes is the only way to implement event listeners
Methods,You can use both this() and super() in the same constructor
Misc,They need to fully understand the entire Java library source code to use it effectively
Data Types,JShell with a graphical shell or interface due to the mention of 'computer-generated art' and 'fractal' in the context of the shell
Methods,Instance methods do not use dynamic binding by default in Java
Control Flow,Lambda expressions are specifically for functional interfaces
Control Flow,"Method overloading with method overriding, especially when parameter types differ but method names are the same"
Data Types,"The Internet with the World Wide Web, thinking they are the same thing"
Methods,"The JCheckBox constructor with a 'radio check box', thinking it behaves like a radio button"
Objects & Classes,It is an actual object
Misc,A variable can be alive but not in scope
Methods,"The concept of sending messages to objects with direct manipulation of the object's attributes, rather than understanding it involves calling methods"
Loops,"Instance variables live as long as the object, while local variables are tied to the method's execution"
Data Types,"The storage of primitive types and object references, thinking both are stored the same way"
Methods,"When to use 'this' and 'super', thinking they always refer to the same method"
Methods,Students may incorrectly assume that 'super.someMethod()' can be used to access private methods of the superclass
Methods,Students may incorrectly assume that a subclass cannot add new methods or instance variables beyond what it inherits from the superclass
Objects & Classes,"Students may incorrectly assume that abstract classes cannot be inherited from, due to the false statement in the 'TWO TRUTHS & A LIE' section"
Data Types,"Students may incorrectly assume that casting an object reference changes the actual object type, rather than just the type of the reference"
Loops,Students may incorrectly assume that changing only the return type of a method is sufficient for overloading
Data Types,"Students may incorrectly assume that character literals can contain more than one character, not realizing they must be a single character enclosed in single quotes"
Control Flow,"Students may incorrectly assume that inheritance automatically handles all specific behaviors of a subclass, without needing to implement or override methods for specific functionality"
Data Types,"Students may incorrectly assume that interfaces can be instantiated directly, not understanding that they must be implemented by a class"
Loops,"Students may incorrectly assume that registering an event listener is optional, not realizing that it is necessary for the event listener to respond to events from a GUI component"
Misc,Students may incorrectly assume that the MPG calculation is based on a fixed number of miles rather than being dependent on user input
Java Versions,"Students may incorrectly assume that the PATH environment variable automatically updates with new JDK installations, not realizing they need to manually update it to include the new JDK's bin directory"
Loops,"Students may incorrectly assume that the enhanced for loop can be used directly with strings, not realizing that strings need to be converted to a character array first"
Loops,"Students may incorrectly assume that the main method must be included in every class, rather than understanding it is only necessary in the class that serves as the entry point for the application"
Control Flow,"Students may incorrectly assume that the pounds variable can be modified after being accessed by the anonymous inner class, not understanding the concept of effectively final variables"
Exception Handling,Students may incorrectly believe that arrays in Java automatically handle out-of-range access without needing explicit error handling
JShell & Tools,"Students may incorrectly believe that the growth of big data is solely due to the creation of new data, without considering the role of data duplication and redundancy"
Loops,"Students may incorrectly believe that the reference type and the object type must always be the same for polymorphism to work, not understanding that polymorphism allows a superclass reference to point to a subclass object"
Data Types,Students may incorrectly believe that toString() and equals() methods in the Object class are abstract and must be overridden in subclasses
Methods,Students may incorrectly believe that you can override methods declared final in the superclass or methods declared within a final class
Methods,"Students may misconceive that all methods in a superclass are inherited by subclasses, without realizing that only inheritable methods (often public methods) are inherited"
Control Flow,"Students may misconceive that braces in lambda expressions are always necessary, not knowing that they can be omitted if the implementation is a single line of code"
JShell & Tools,"Students may misconceive that cloud computing always saves money, not considering scenarios where it might not be cost-effective"
Loops,"Students may misconceive that polymorphism is primarily about making code easier to extend and maintain, without fully grasping how it allows for dynamic method binding and flexibility in code execution"
Loops,"Students may misconceive that the 'inRange' function is efficient for counting occurrences of each score when it actually traverses the entire array multiple times, leading to inefficiency"
Misc,"Students may misconceive that the abundance of silicon directly correlates to the low cost of computers, not recognizing the complexities and costs involved in manufacturing silicon chips"
Misc,Students may misconceive that the sales tax rates should be added directly to the total sales amount rather than applied as a percentage
Loops,"Students may misconceive that the subclass constructor can complete before the superclass constructor, due to the analogy of parent and child"
Data Types,"That Java supports multiple inheritance from classes, when in fact it only supports multiple inheritance through interfaces"
Data Types,"That abstract classes cannot contain any concrete methods, similar to interfaces"
Methods,"That all methods must have a return value, not understanding the distinction between void methods and value methods"
Methods,"That overloaded methods are recursive, especially when one overloaded method calls another"
Control Flow,"That setting the CLASSPATH is the same on all operating systems, not knowing that the syntax differs between Windows and Unix-based systems"
Misc,That the garbage collector is a sentient or conscious entity due to the anthropomorphic language used
Methods,"That you can call a superclass constructor by using its name, like Employee(), instead of using super"
Control Flow,"Students may mistakenly think that the JDK version number alone determines the presence of new features or security updates, not realizing the significance of minor and security update numbers"
Misc,"Students may mistakenly think that the JFrame's default close operation is to exit the application, not realizing it needs to be explicitly set with setDefaultCloseOperation"
Misc,"Needs to be manually triggered by the programmer, rather than an automatic process handled by the system"
Data Types,"Polymorphism, thinking it only involves inheritance, and not recognizing the role of interfaces in achieving polymorphism"
Data Types,"Java is purely an interpreted language, not recognizing its mixture of compilation and interpretation"
Loops,"A file must always be organized into records, rather than understanding that a file can contain arbitrary data in arbitrary formats"
Objects & Classes,A parent class inherits from a child class
Objects & Classes,"A reference to an abstract superclass object can hold a concrete subclass object reference, thinking that abstract references cannot store concrete objects"
Methods,A subclass constructor must always pass arguments to the superclass constructor
Loops,"A variable's state persists only while the method is running, not realizing it persists as long as the method's stack frame is on the stack"
Methods,Abstract methods can have a body or implementation in the abstract class
Methods,"Abstract methods can have a body, but in Java, abstract methods cannot have a body"
Control Flow,An Object reference to a subclass object cannot access any subclass-specific methods
Control Flow,Having a different parameter type (BankAccount vs Object) in the equals() method means it is overloaded rather than overridden
Control Flow,"Having an Object reference to an instance of a subclass (e.g., Dog) allows calling subclass-specific methods directly"
Misc,High-level languages do not require any translation to be executed by a computer
Methods,Methods in a subclass can access private data fields of the superclass directly
Methods,"Overloaded constructors can have the same argument list, not realizing that each must have a unique parameter list"
Data Types,"Polymorphism requires method names to be identical across classes, not realizing it involves the behavior of objects through a common interface"
Control Flow,Polymorphism with Object type references means objects lose their specific type characteristics permanently
Methods,"Private instance variables in a superclass do not affect subclasses, not realizing that methods in the superclass may rely on these variables"
Control Flow,Recursive methods cannot be used in conjunction with conditional statements
Methods,The 'banana' method is calculating the sum of the array elements instead of the product
Loops,"The ListSelectionListener is responsible for displaying the selected item, rather than just handling the selection event"
Methods,The absence of a subclass constructor means the subclass cannot be instantiated
Loops,"The actionPerformed method is automatically called without user interaction, not realizing it is triggered by an event"
Java Versions,"The conversion factor is automatically applied, not realizing they must explicitly multiply the parsed double by the conversion constant"
Data Types,The free IntelliJ IDEA Community Edition supports Java EE development when it only supports Java SE
Methods,"The getSource method is the only way to determine which button was clicked, not realizing other methods like getActionCommand exist"
GUI,"The order of adding components to a GridLayout does not matter, when it actually determines their placement in the grid"
Loops,The setLayout method is not necessary for the components to be displayed properly
Loops,The setVisible method is responsible for both displaying the window and handling all interactions within it
Objects & Classes,Using 'new' is necessary to create a reference to a superclass object
Objects & Classes,"The IS-A relationship, thinking it applies to any extension rather than a logical inheritance relationship"
Misc,"The IS-A relationship, thinking it works both ways rather than in only one direction"
Objects & Classes,"Protected data members are accessible to all classes, not just subclasses and classes in the same package"
Control Flow,"The difference between gross and net revenue, thinking they are the same"
Objects & Classes,"Swing and AWT components are completely separate, rather than realizing they share a common ancestor in the Component class"
Loops,"The purpose of abstract methods, thinking they are meant for code reuse rather than defining a protocol for subclasses"
Data Types,"The purpose of abstract methods, thinking they are pointless since they don't provide direct functionality"
Data Types,"The purpose of carbon-footprint calculators, thinking they provide precise measurements rather than estimates"
Methods,"The purpose of the main method, thinking it has to do more than just instantiate a class"
Misc,"The role of IP addresses, thinking they are static and do not change"
Control Flow,The placement of components (like radio buttons and labels) is automatically handled without specifying a layout manager
Control Flow,"The role of the JVM, thinking it is only a part of the JDK, rather than recognizing its broader role in executing Java bytecode across different platforms"
Loops,"The role of the content pane, thinking it is visible or has a border, rather than being an invisible container for components"
Data Types,"The use of 'StringBuffer' and think it is the only way to concatenate strings, not knowing about alternatives like 'StringBuilder' or simple string concatenation"
Objects & Classes,"Students may misuse inheritance to reuse code without considering the IS-A relationship, leading to inappropriate class hierarchies"
Control Flow,"Students may not realize that if a constructor requires an argument, it must be provided, and they cannot compile the code without supplying the necessary arguments"
Control Flow,"Students may not realize that if they don't write a constructor, the compiler provides a default one"
Control Flow,"Students may not realize that instance variables can keep objects alive as long as the instance itself is alive, leading to potential memory management issues if not properly handled"
Data Types,"Students may not realize that the Object class can be used to hold any type of object, leading to confusion about how to create a truly generic list"
Control Flow,Students may not realize the importance of considering future use cases and the potential need for different behaviors in different contexts
Loops,"Students may not realize the importance of using variables to hold intermediate values for debugging purposes, thinking that they can write complex expressions without intermediate checks"
Control Flow,"Students may not understand that a constructor is mandatory for every class, even if not explicitly defined"
Methods,Students may not understand that code after a return statement in the same block is considered dead code and will lead to an 'unreachable statement' error
Methods,A constructor is just a method because it uses parentheses like a method call
GUI,"JavaFX lighting effects are a feature of JShell, rather than a separate JavaFX capability, due to the way lighting effects are discussed in the context of the shell"
Misc,"A JList automatically displays a scroll bar when it contains too many items, but it does not"
Misc,"A JTextField can only be used to input text, not realizing it can also display text"
Control Flow,"A class always has a no-argument constructor if they don't explicitly define one, not realizing that this is only true if no other constructors are defined"
Control Flow,"A constructor with parameters can be omitted if they want to use default values, not realizing that a no-argument constructor is needed for that"
Methods,"A method to determine a winner in a game class can be implemented without considering all possible edge cases, such as ties or incomplete games"
Control Flow,A subclass cannot have different behavior from its superclass because it inherits functionality from the superclass
Data Types,A subclass constructor must have the same number or types of parameters as its superclass constructor
Control Flow,"A superclass object can be instantiated directly, even if it is abstract"
Objects & Classes,Abstract classes can be instantiated directly
Methods,"Abstract classes can have fully implemented methods, not realizing that abstract methods must be declared without an implementation"
Data Types,"Abstract classes cannot contain any concrete methods, confusing them with interfaces"
Methods,"Abstract classes cannot have constructors, but they can have constructors to initialize fields"
Methods,Abstract classes cannot have non-abstract methods
Methods,Abstract methods can have a method body
GUI,"Adding components directly to a JFrame is the same as adding them to the content pane, not realizing that components are actually added to the content pane"
GUI,"Adding components to a panel automatically arranges them in a grid, without realizing that the panel itself uses a FlowLayout by default"
Misc,All logical units of a computer are the same and do not have distinct functions
Data Types,"All methods in an interface must be implemented in every subclass, not realizing that only the classes implementing the interface need to provide implementations"
Control Flow,"All objects with an IP address are part of the IoT, without understanding that IoT specifically refers to objects that can send data automatically over the Internet"
Control Flow,"All paths through a method must have a return statement, but they might not realize that if a condition is not met, the method can end without returning a value, leading to a 'missing return statement' error"
Control Flow,An ArrayList<Object> can store and retrieve specific types like Dog without casting
Control Flow,An abstract class can be instantiated if they misunderstand the statement about instantiating a Dog object
Control Flow,"An instance variable inside an object will always live as long as the object itself, not realizing that if the object becomes eligible for garbage collection, so do its instance variables"
Loops,"An interface is the same as an abstract class, not understanding that interfaces define a contract without any implementation, while abstract classes can provide some implementation"
Control Flow,An object can only be treated as its specific class type and not as a more general type like Object
JShell & Tools,"Any text editor can be used to write Java code, not realizing that some editors provide more features that can aid in development"
Data Types,Array indices can be non-integer or incorrectly use characters like 'O' and 'l' instead of '0' and '1'
Objects & Classes,"Both radio buttons and check boxes can be added to a ButtonGroup object, when typically only radio buttons are used"
Methods,"Both super() and this() can be used in the same constructor, but they cannot"
Control Flow,"Casting an object to a specific type changes the actual type of the object, rather than just the reference type"
GUI,Changing a JButton component's action command will also change the text displayed on the button
Data Types,Changing only the return type of a method is enough to override a method
Misc,Check boxes are always grouped in a ButtonGroup like radio buttons
Loops,"CompareTo is used for checking equality, but it is actually used for determining the order of strings"
GUI,"Components are not resized when placed in a GridLayout, but they are automatically resized to fill the cell"
Misc,"Constants like CREAM_CHEESE are defined, but they are not present in the code snippet, leading to confusion about where these constants are declared"
Loops,Constructors are not necessary for abstract classes since they cannot be instantiated directly
Control Flow,Constructors in subclasses cannot have different parameters than those in the superclass
Methods,"Constructors in subclasses must always require parameters, not realizing they can have no-argument constructors"
Objects & Classes,Declaring a reference variable automatically creates an object on the heap
Loops,"Extending JFrame is always the best approach for creating GUI applications, not realizing that it can lead to complex and cumbersome code when dealing with many components"
Control Flow,"If a method is empty, it is automatically abstract, even if not explicitly declared as abstract"
Control Flow,"If a superclass has a default constructor, a subclass must also have a constructor"
Control Flow,"If they know the actual type of an object (e.g., Dog), they can call methods specific to that type even if the reference is of type Object"
Control Flow,Importing java.util.* is unnecessary if only using Scanner
Misc,"Input devices only include traditional peripherals like keyboards and mice, not realizing that modern devices such as GPS, accelerometers, and voice assistants are also input devices"
Control Flow,Instance variables can be accessed directly from other classes if they are declared as private
Objects & Classes,Local variables and instance variables both live on the stack
GUI,"Multiple components can be added to the same region in a BorderLayout, but each region can only hold one component at a time"
Objects & Classes,Multiple inheritance is allowed in Java
Objects & Classes,"Object-oriented programming completely hides all messy details, making them irrelevant"
Objects & Classes,"Objects can access the attributes of other objects directly, similar to how a car might know the fuel level of another car"
Exception Handling,"Once a program compiles successfully, it will always execute correctly, not realizing that runtime errors can still occur"
Loops,"Once a reference goes out of scope, the object it referred to is immediately destroyed, not understanding that it becomes eligible for garbage collection but is not immediately collected"
Exception Handling,"Open-source software is less secure than proprietary software, not recognizing that open-source code is often scrutinized by a larger audience, leading to quicker error detection and removal"
Methods,"Overriding a method can change its access level to be more restrictive, such as changing a public method to private"
Data Types,"Polymorphic arguments in methods can only accept objects of the declared type, not understanding that any subclass object can be passed"
Methods,Private data fields can be accessed directly from outside the class without using public methods
Methods,Private instance variables and methods of a superclass can be inherited by a subclass
Methods,"Private methods can be accessed by any class, not just the class in which they are defined"
Control Flow,"Putting methods in a superclass automatically provides functionality to all subclasses, even if the methods are abstract"
JShell & Tools,"SetDefaultCloseOperation(JFrame.EXIT_ON_CLOSE) is the only way to close a JFrame, not realizing there are other options like DISPOSE_ON_CLOSE, HIDE_ON_CLOSE, and DO_NOTHING_ON_CLOSE"
Loops,"SetSelectionMode(ListSelectionModel.SINGLE_SELECTION) is the only selection mode available for JList, not knowing about MULTIPLE_INTERVAL_SELECTION and SINGLE_INTERVAL_SELECTION"
Misc,"Setting a field to an invalid value will automatically revert it to a default value, but this behavior must be explicitly programmed"
GUI,"Setting a layout manager on a JPanel automatically applies to all components within the JFrame, not realizing that each container can have its own layout manager"
Objects & Classes,"Setting a variable to null completely removes the object from memory, rather than just removing the reference to it"
Loops,Setting the JAVA_HOME environment variable is only necessary for Java DB and not for other Java applications
Loops,"Setting the background color of a component will also change the text color, but background and foreground colors are set separately"
Misc,Simply creating a JButton and adding it to a JFrame will automatically handle button clicks without needing an event handler
Control Flow,"Sorting an array of objects can only be done by one attribute at a time, rather than allowing continuous sorting by different attributes"
Methods,Static methods can use the 'super' keyword to access parent class methods
Methods,Subclass methods can access private fields of the superclass directly
Loops,"The 'setVisible(true)' method call is optional for displaying the window, not understanding that it is necessary to make the window appear"
Misc,"The BorderLayout manager resizes the buttons within the JPanels, rather than the JPanels themselves"
Methods,"The ButtonGroup automatically adds the buttons to the panel, but they must be added separately with the add method"
Loops,"The JDK version number format has always been the same, not realizing that it changed starting with Java 9"
Interfaces,"The JList component automatically updates the JTextField with the selected item, without needing to implement a ListSelectionListener"
Loops,The JVM is only an interpreter and not realize it also uses JIT compilation for performance
Misc,"The NO_COFFEE constant is defined like the other coffee constants, but it is not present in the code"
Control Flow,"The PATH environment variable is the same across all operating systems, not realizing that the steps to set it differ by OS"
Control Flow,The WINDOW_WIDTH and WINDOW_HEIGHT constants can be modified after the window is created because they are declared as 'final'
Loops,The actionPerformed method is automatically executed without any user interaction
Misc,"The background color change applies to the entire window rather than just the content pane, label, and check boxes"
Loops,"The class name 'EventObject' is appropriate for a JFrame subclass, not realizing that it might cause confusion with the existing 'EventObject' class in the Java API"
Loops,The default layout manager for a JFrame object’s content pane is FlowLayout instead of BorderLayout
Control Flow,The description field in the Rock class can be set directly rather than being set to 'Unclassified' by default
Data Types,"The end index in substring is inclusive, but it is actually exclusive"
Loops,"The enhanced for loop provides more control over the iteration process than the standard for loop, not recognizing that it abstracts away the index-based iteration details"
Loops,"The equals() method automatically checks for content equality between objects, rather than needing to be overridden for custom behavior"
Misc,"The equipment fee is included in the base price calculation, not realizing it is added separately"
Control Flow,"The equipment type is always set to the input value, not realizing it defaults to 'other' if out of range"
Control Flow,"The event listener for buttons must always be placed in the same class that creates the buttons, rather than understanding that it can access methods from other objects if those objects are accessible"
Control Flow,"The getSelectedIndex method returns 21 if no item is selected, but it actually returns -1"
Methods,"The getSource method returns the selected radio button itself, rather than the event source"
Loops,"The gross revenue and net revenue for theater ticket sales are the same, not accounting for the deduction paid to the movie company"
Objects & Classes,The import statement 'import javax.swing.*;' is optional when using Swing classes
Loops,"The initializer in a for loop runs every time the loop iterates, rather than just once at the beginning"
Control Flow,"The key logical units of the computer are only a few specific components, not understanding the broader range of components involved"
Objects & Classes,The keyword 'super' refers to the child class instead of the parent class
Methods,The keyword 'this' can be used to access an overridden method in a base class
Loops,The loop in the 'loop' method will always terminate without understanding the conditions under which it might not
Methods,The main method must always be in a separate file from the class it instantiates
Data Types,The method called is determined by the reference type rather than the actual object type
Data Types,"The method nextInt(n) generates numbers between 0 and n, rather than 0 and n-1"
Objects & Classes,"The name of the inner class must be related to the component it handles, but it can actually be any name"
Objects & Classes,The new operator is not necessary to create an object of a class
Control Flow,"The original string is modified when using methods like toUpperCase or replace, not realizing that these methods return a new string and do not change the original string"
GUI,"The panel size is automatically adjusted to fit the components, not realizing that the window size is explicitly set using setSize"
Control Flow,The phases of Java program development are interchangeable or do not need to be followed in a specific order
Control Flow,"The reference type and the object type must always be the same, not understanding that polymorphism allows them to be different"
Loops,"The setBackground and setForeground methods change the color of the button itself, rather than the background and text color of the button"
Methods,The setTitle method sets the title of the panel instead of the window
Data Types,"The toString method is explicitly called when using System.out.println with objects, rather than it being called automatically"
Misc,"The visibility of the window is automatically managed by the layout managers, not recognizing the need to explicitly call setVisible(true)"
Misc,The window will automatically display without calling setVisible(true)
Methods,"They need to create an instance of the BorderFactory class to use its methods, not realizing that they are static methods"
Control Flow,They need to manually specify the exact location of components within a window instead of using a layout manager
Objects & Classes,They need to redefine fields in a subclass that are already defined in the superclass
Data Types,"Using an interface allows a class to inherit non-private, non-overridden members from another class, which is not the case"
Objects & Classes,"Using inheritance is the only way to reuse code, not realizing that composition and other design patterns can also achieve code reuse"
Data Types,"When a class extends another class, it literally copies all methods into the subclass, rather than understanding that it inherits the ability to use those methods"
Data Types,"You can call methods on an object based on the actual object type, not the reference variable type"
Objects & Classes,"They can access private superclass members directly from a subclass, not understanding the access control restrictions"
Objects & Classes,They can instantiate an abstract class directly
Methods,They can use both super() and this() in the same constructor
Loops,"'super' can only be used for overridden methods, not realizing it can also access non-overridden methods in the superclass"
Collections & Generics,"Arrays.copyOf always copies the entire array, not realizing it can copy a portion"
Control Flow,"JDK 8 is sufficient for all Java 9 features, not realizing that JDK 9 is required for Java SE 9-specific features discussed in the book"
Misc,JTextField is always editable by default and may not realize the importance of setEditable(false) to make it uneditable
Data Types,"Java automatically knows which method to call without considering the parameters provided, rather than understanding that Java determines the method based on the argument types and number"
Control Flow,Linux is only used by hobbyists and not realize its significant use in enterprise systems and servers
Misc,"A ButtonGroup manages the layout of radio buttons visually, similar to a JPanel"
Data Types,"A class implementing an interface can choose not to implement some of its methods, which is incorrect unless the class is declared abstract"
Methods,"A constructor must always contain code to initialize the object, not realizing that the compiler can provide a default constructor"
Control Flow,"A method with the same name but different parameter types in a subclass is an override, rather than an overload"
Control Flow,"Adding action listeners to radio buttons is unnecessary if they are grouped, but each button needs its own listener for handling events"
Data Types,"All characters in Java are represented using the same number of bytes, not understanding the variable length of Unicode characters"
Control Flow,"All loops will eventually terminate, not recognizing the possibility of infinite loops if the condition is never met"
Loops,All programming languages are equally convenient for writing programs quickly and easily
Methods,All subclasses of an abstract class must have the same constructor parameters as the abstract class
Loops,Any expression can be used as an array index without considering the need for it to be an int type
Objects & Classes,Any two concepts can be related through inheritance without considering the logical relationship
Exception Handling,"Arrays can be created with a negative size, not realizing that this will result in a NegativeArraySizeException"
Control Flow,"Arrays cannot have zero elements, not realizing that zero-length arrays are valid and have specific uses"
Methods,"Because the Vehicle class has a constructor, it can be instantiated, not realizing that abstract classes cannot be instantiated directly"
Methods,"Changing the method signatures in a class won't affect other classes, not realizing it breaks the contract between classes"
Control Flow,"Classes from different inheritance trees cannot implement the same interface, when they actually can"
Loops,"Common behaviors must be implemented in the superclass, rather than recognizing opportunities to create intermediate abstract classes for shared behaviors among certain groups of subclasses"
JShell & Tools,"Continuous beta software is always superior due to constant updates, not considering potential drawbacks like instability or frequent changes"
Misc,"Databases can only be relational and stored in tables, not recognizing that there are other database models like NoSQL"
Data Types,Declaring an array of a superclass type automatically creates instances of the subclass objects
Misc,Deselecting a check box will not revert the colors to their original state
Data Types,"Each type of component (e.g., radio buttons, labels) requires a separate specialized panel, not understanding when it's appropriate to group components together"
Misc,"Every time they run a program with random number generation, they will get the same output, not realizing the nondeterministic nature of such programs"
Control Flow,"Generalizing a method always leads to discovering new capabilities, without understanding that it depends on the context and specific changes made to the method"
Control Flow,"If a superclass has only nondefault constructors, a subclass can still be created without defining its own constructor, not recognizing the need to explicitly call a superclass constructor with arguments"
Data Types,"Implementing an interface in Java automatically provides the method implementations, rather than just requiring the method signatures to be defined"
Loops,"Importing javax.swing.* automatically includes all necessary components for event handling, not realizing that java.awt is also needed for certain events like mouse clicks"
Loops,"Inheritance automatically enforces rules like score validation across all levels, without needing explicit logic in the subclass"
Misc,"Making a window invisible with setVisible(false) is the same as closing it, not understanding that the application continues to run"
Control Flow,"Modifying a superclass will always be safe for subclasses, not realizing that changes can 'break' subclass dependencies"
Loops,"Object-oriented exception handling is the only way to handle errors, not realizing that there are other methods that were used before object-oriented programming"
Objects & Classes,Object-oriented programming is always superior to structured programming in every situation
Methods,"Once a method is defined, it cannot be used in conjunction with other methods or as part of larger expressions"
Methods,"Only the constructor of the subclass executes when creating an object, not realizing that the superclass constructor executes first"
Objects & Classes,"Polymorphism only applies when using built-in Java classes, not realizing it can be applied to user-defined classes as well"
Loops,"Printed tables are entirely obsolete, not understanding that some computational processes still rely on tables for approximations"
Objects & Classes,"Protected access provides complete security, not understanding it allows access to subclasses"
Data Types,Runtime exceptions are the only type of exceptions that occur during program execution
Misc,"SetLayout(new BorderLayout()) is the only way to set a layout manager, not understanding that there are other layout managers like FlowLayout, GridLayout, etc"
Data Types,"Single interval selection mode allows non-contiguous items to be selected, when it actually requires the items to be contiguous"
Methods,Subclass methods automatically override superclass methods without needing to explicitly define them in the subclass
Data Types,"The 'JOptionPane.showMessageDialog' method is the only way to display messages, without knowing about other options like 'System.out.println' or custom dialogs"
GUI,"The GridLayout manager can be applied directly to components like buttons or labels, rather than to containers like panels or content panes"
Loops,"The JOptionPane.showMessageDialog method can only be used for displaying error messages, not for general information"
Control Flow,"The action command is automatically set to the button's text, without understanding that it can be explicitly set to a different value"
Objects & Classes,"The attributes of a Rectangle (x, y, width, height) are independent and not related to the object's position and size"
Methods,The compiler is involved in constructor-making even when they have defined their own constructors
Loops,"The createTitledBorder method requires additional arguments for the etched border, not understanding that it only requires a title string"
Methods,"The default constructor is always provided unless explicitly defined, not realizing that any constructor defined in the class will prevent the default constructor from being automatically generated"
Control Flow,"The default selected radio button (Regular coffee) is not specified, but it is actually set to true in the constructor"
Loops,"The development of HTML and HTTP was solely for creating websites, rather than for sharing hyperlinked documents"
Methods,"The doClick method is the only way to programmatically select a radio button, not knowing other methods exist"
Loops,"The enhanced for loop can be used interchangeably with the standard for loop in all scenarios, without realizing that it lacks the ability to access the index of elements directly"
Loops,The fee for CollegeCourse is a constant value rather than calculated based on credits
Methods,"The getActionCommand method returns something other than the text on a JButton, such as the button's ID or another property"
Loops,"The hashCode() method's return value is always useful, not understanding that its default implementation often just returns the object's memory address, which is usually not meaningful for application logic"
Data Types,The initial value of max should be zero instead of Integer.MIN_VALUE when finding the maximum value
Control Flow,"The instanceof operator follows the same capitalization rules as identifiers, leading to syntax errors"
Misc,The keyword 'this' needs to be declared or can be assigned a new value
Control Flow,"The method defined in the superclass is always called, rather than the most specific version available in the object's class"
JShell & Tools,"The number of IoT devices is static or that the figures provided are current, not realizing that the numbers are estimates and subject to change over time"
Control Flow,"The number of objects (CollegeEmployees, Faculty, Students) can be dynamically adjusted without modifying the array size constraints in the application"
Control Flow,"The order of constructor calls is arbitrary, not recognizing the specific sequence from the subclass to the topmost superclass"
Loops,"The pack method is optional for displaying the window correctly, not understanding its role in sizing the window to fit the preferred size of its components"
Misc,"The package declaration can be placed anywhere in the source file, not realizing it must be the first statement (excluding comments)"
Control Flow,"The printf method automatically adds a newline after each output, not realizing that it needs a newline character explicitly if required"
Loops,"The setPrice() method automatically handles invalid input (e.g., non-numeric input) because the example does not include error handling for NumberFormatException"
Data Types,The setSelectionMode method accepts a String argument instead of an int argument
Loops,The setSelectionMode method is unnecessary for single selection since it is a common use case
Methods,"The stack can only hold one method at a time, rather than understanding that multiple methods can be stacked as they are called in sequence"
Methods,The subclass cannot access or use the methods of its superclass without explicitly redefining them
Misc,The theater keeps a fixed dollar amount rather than a percentage of box office receipts
Loops,"The toString() method in the Object class automatically provides a meaningful string representation of an object, not realizing that it often needs to be overridden to provide useful information"
Control Flow,"The variable name and attribute name must be different, not understanding that they can be the same in different contexts"
GUI,They can use layout managers without placing components in a container first
Data Types,ToLowerCase alters the original string rather than returning a new string with the changes
Objects & Classes,"Using inheritance is always the best way to achieve behavior reuse, without considering other design patterns"
Data Types,"Using interfaces is not beneficial because they do not contain any implementation code, overlooking the polymorphic flexibility interfaces provide"
Objects & Classes,"About the purpose of abstract classes, thinking they are not useful since they cannot be instantiated"
Data Types,BigInteger objects are mutable
GUI,ButtonGroup is a visual component that can be displayed in a GUI
GUI,JCheckBox components can be used to make mutually exclusive selections like radio buttons
Data Types,"JList can only accept arrays of String objects, when it can actually accept arrays of any Object type"
Exception Handling,"Java commands are not case sensitive, leading to errors when trying to execute applications with incorrect capitalization"
Misc,TCP/IP is a single protocol rather than a suite of protocols
Loops,"A JButton automatically performs an action upon being clicked, without needing an event listener"
Data Types,"A NullPointerException occurs when a null reference is passed as an argument or received as a return value, rather than when trying to access attributes or methods on a null reference"
GUI,"A cell in a GridLayout can hold more than one component, but each cell can only hold one component"
Loops,"A class can extend multiple abstract classes, not understanding the single inheritance rule for classes"
Control Flow,"A class can only implement an interface if it extends another class, not realizing that implementing an interface is independent of class inheritance"
Data Types,A constructor must have a return type like a method
Loops,"A new custom panel class is always necessary for every group of components, not realizing that sometimes it's more efficient to use existing panels or the main class itself"
Data Types,"A program can recover from all types of errors, including those represented by the Error class"
Objects & Classes,A reference variable holds the actual object rather than just a reference to it
Objects & Classes,A reference variable is always necessary to create an instance of a class
Data Types,A reference variable of type Object can be assigned to any other reference type without a cast
Methods,A subclass cannot use methods from its superclass without redefining them
Methods,A superclass method call must always be the first statement in a subclass method
Objects & Classes,A superclass object can be a member of its subclasses
Control Flow,"A window and a frame are the same thing, not realizing that a frame is a specific type of container that can be displayed as a window"
Exception Handling,"Abrupt program termination is an acceptable solution in all cases, not understanding the importance of handling exceptions in mission-critical applications"
Objects & Classes,Abstract classes can be instantiated directly
Methods,"Abstract classes cannot have any implemented methods, but they can have both abstract and concrete methods"
Methods,"Abstract classes cannot have any methods implemented, not realizing that they can have both abstract methods and methods with implementations"
Methods,Abstract methods can have a body
Loops,"Abstract methods in a superclass are a waste of time because they require implementation in every subclass, not realizing the importance of enforcing a contract"
Misc,"Adding a border around the panel is purely decorative, not realizing it helps visually group the radio buttons"
Methods,"Adding a border to a JList is complex, whereas it can be done with a simple method call"
Data Types,Adding a parameter to printRow automatically changes the behavior of printTable without needing to update the method call to include the new parameter
GUI,Adding components to the panel automatically adds them to the frame without explicitly calling add(panel)
GUI,"All GUI components must be either Swing or AWT, not understanding that some applications can use both"
